cvn,imoNumber,vesselName,builtDate,vesselTypeTopLevelType,vesselTypeMidLevelType,detailedVesselType,flagOfRegistry,ageYear,mmsiMaritimeMobileServiceIdentity,classSociety,mainStatus,detailedStatus,grossTonnage,deadweightTonnes,lengthOverallMetres,draftMetres,beamMetres,lightDisplacement,ownerCompanyId,owner,ownerNationalityRegion,groupOwnerCompanyId,groupOwner,groupOwnerCountryRegion,registeredOwnerCompany,builderCompanyId,builder,builderCountryRegion,specificSize,specificUnit,callSign,sisterVesselCode,contractDate,compensatedGrossTonnage,yard,operatorCompanyId,operator,operatorCountryRegion,managerCompanyId,technicalManager,technicalManagerCountryRegion,cargoCapacityCubicMetres,tanksTotal,pumpsTotal,coatedTanksFitted,imoClass,iceClassNotation,iceClassed,speedKnots,powerType,mainEngineFuelType,mainEngineSummary,auxiliarySummary,propulsorSummary,environmentalSummary,ballastWaterTreatmentSystemFitted,mainEngineLngReady,hullSurveyDueDate,lastHullSurveyDate,mainEngines,auxiliaryEngines,positionalThrusters,propulsion,environmentalEquipment,globalZonePercentageTimeSpent,timeseries,bespokeData,vehicleDecksNo,vehicleCapacity,teuTotalCapacity,gearedIndicator,homogenousTeuCapacity,reeferTeuTotal,consumptionTonnesPerDay,mainEngineEcoMeEngine,newbuildingPrice,newbuildingPriceCurrency,exName,shipDesign,holdsTotal,hatchesTotal,greatLakesOnly,soxScrubberFitted,laneLengthMetres,passengersTotalNo,passengerBerths,heavyLiftCapable,tankTempCelcius,cargoContainmentSystemType,mainEngineLngCapable,alternativeFuelTypes,tankPressureKgfSqCm,noxAbatementIndicator
15694997,9315903.0,Bosporos,2007-08-01T00:00:00,Products Tankers,"Handy (25,000-39,999 dwt)",Chemical & Oil Carrier,Marshall Is.,15.5,538008904.0,DNV,Fleet,In Service,23310,37275.0,182.55,11.217,27.4,,448480,Tsakos Energy Nav,Greece,448477,Tsakos Group,Greece,BOSPOROS MARINE COMPANY LTD,392961,Hyundai Mipo,South Korea,37275.0,DWT,V7A2889,76605.002,2004-02-27T00:00:00,21204.4756,Hyundai Mipo,448480.0,Tsakos Energy Nav,Greece,149297.0,Tsakos Shpg & Trdg,Greece,41408.0,12.0,12.0,True,2.0,1B,True,14.5,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 6S50MC-C8.1,3 x Aux. Diesel Gen. - Yanmar,"1 x HHI-EMD (HiMSEN), FP Propeller, 127rpm ",2 x BWTS - Ballast Water Treatment System (Pending) - TechCross,True,False,2023-07-08T00:00:00,2017-12-04T00:00:00,[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,
16022089,9367592.0,Morning Ninni,2008-09-01T00:00:00,Pure Car Carriers,"Pure Car Carriers (4,000-5,999 Vehicles)",Pure Car Carrier,Singapore,14.41667,563610000.0,Nippon Kaiji Kyokai,Fleet,In Service,51917,17372.0,179.9,9.6,32.2,,232061,Libera Corporation,Japan,232061,Libera Corporation,Japan,OCEAN (PCTC) PTE LTD,396251,Tsuneishi Tadotsu SB,Japan,5340.0,Cars,9VHC3,72888.003,2005-08-26T00:00:00,29978.36696,Tsuneishi Tadotsu SB,406448.0,Eukor Car Carriers,South Korea,861283.0,Laurel Ship Man,Singapore,,,,,,,,20.0,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 7S60MC-C7.1,3 x Aux. Diesel Gen. - Yanmar,"1 x Propeller, 100rpm ",1 x BWTS - Ballast Water Treatment System - SunRui,True,False,2023-10-02T00:00:00,2018-09-09T00:00:00,[],[],[],[],[],[],[],,12.0,5340.0,,,,,,,,,,,,,,,,,,,,,,,,
16041569,9532795.0,APL Antwerp,2013-05-01T00:00:00,Containerships,"Neo-Panamax Containership 8,000-11,999 TEU",Fully Cellular Container,Malta,9.75,248633000.0,Nippon Kaiji Kyokai,Fleet,In Service,87865,90799.0,320.37,14.0,45.6,,346656,Nissen Kaiun,Japan,346656,Nissen Kaiun,Japan,Argosy Pte Ltd,403205,Koyo Dock,Japan,8100.0,TEU,9HA4736,78636.002,2006-05-12T00:00:00,43706.74076,Koyo Dock,198866.0,APL,Singapore,623247.0,Synergy Maritime,India,,,,,,,False,26.0,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 11K98ME7.2,"1 x Aux. Steam Turb. Gen. - Shinko, 4 x Aux. Diesel Gen. - Daihatsu","1 x FP Propeller, 94rpm ",,,False,2028-05-16T00:00:00,2023-04-28T00:00:00,[],[],[],[],[],[],[],,,,8100.0,False,4494.0,1000.0,240.0,Eco – Electronic Engine,,,,,,,,,,,,,,,,,,
16045417,9492270.0,Anita Garibaldi,2015-06-01T00:00:00,Crude Tankers,"Panamax Dirty (55,000-84,999 dwt)",Tanker,Brazil,7.66667,710001359.0,Bureau Veritas,Fleet,In Service,44797,72786.0,228.0,12.0,40.0,,527031,Transpetro,Brazil,583119,Petrobras,Brazil,Petrobras Transporte S/A - Transpetro / Fronape,451806,Estaleiro Maua,Brazil,72786.0,DWT,PPYA,72115.001,2006-06-27T00:00:00,21500.72616,Estaleiro Maua,527031.0,Transpetro,Brazil,527031.0,Transpetro,Brazil,88848.0,12.0,,,,,,15.0,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 6S60MC-C7.2,3 x Aux. Diesel Gen. - MAN Energy Solutions,"1 x Silla Metal, FP Propeller, 105rpm ",1 x BWTS - Ballast Water Treatment System (Pending) - S&SYS(Samsung HI),True,False,2025-08-31T00:00:00,2021-01-21T00:00:00,[],[],[],[],[],[],[],,,,,,,,,,87.25,$m,,,,,,,,,,,,,,,,
16070598,9437103.0,LC Athos,2011-05-01T00:00:00,Bulkcarriers,Panamax Bulker,Bulk Carrier,Liberia,11.75,636022413.0,RINA,Fleet,In Service,47984,87431.0,229.0,14.22,36.8,,1000137,Carbonmall Coal,U.A.E.,1000137,Carbonmall Coal,U.A.E.,ELSI SHIPPING 1 LTD,983412,Hudong Zhonghua,China P.R.,87431.0,DWT,5LIQ9,72882.015,2007-02-09T00:00:00,20790.59083,Hudong Zhonghua,1000137.0,Carbonmall Coal,U.A.E.,998540.0,Clan Shipmanagt,Turkey,,,,,,,False,14.5,Diesel 2-Stroke,VLS IFO,1 x Diesel - Wartsila 2-stroke 5RT-flex58T-D,3 x Aux. Diesel Gen. - Yanmar,"1 x FP Propeller, 105rpm ",1 x BWTS - Ballast Water Treatment System - ERMA FIRST,True,False,2026-05-24T00:00:00,2022-11-04T00:00:00,[],[],[],[],[],[],[],,,,,False,,,,Eco – Electronic Engine,,,Athanassios G.O.,Hudong 87K,7.0,7.0,False,,,,,,,,,,,
16080647,9445409.0,Glovis Solomon,2011-07-01T00:00:00,Pure Car Carriers,"Pure Car Carriers (6,000 & Above Vehicles)",Pure Car Carrier,South Korea,11.58333,441310000.0,Korean Register of Shipping,Fleet,In Service,72408,26988.0,232.39,10.0,32.26,21064.0,599920,Hyundai Glovis,South Korea,784915,Hyundai Motor Group,South Korea,"HYUNDAI GLOVIS CO., LTD.",392961,Hyundai Samho HI,South Korea,7538.0,Cars,D7GS,73125.003,2007-04-16T00:00:00,37839.19124,Hyundai Samho HI,599920.0,Hyundai Glovis,South Korea,625788.0,G-Marine Service,South Korea,,,,,,,,20.0,Diesel 2-Stroke,IFO 380,1 x Diesel - MAN B. & W. 8S60ME-C8.2,3 x Aux. Diesel Gen. - HHI-EMD (HiMSEN),"1 x HHI-EMD (HiMSEN), FP Propeller, 105rpm ","1 x Exhaust Scrubber - SOx - Hyundai Materials, 1 x BWTS - Ballast Water Treatment System - TechCross",True,False,2026-07-10T00:00:00,2021-09-30T00:00:00,[],[],[],[],[],[],[],,12.0,7538.0,,,,,,Eco – Electronic Engine,90.0,$m,C Ladybug,,,,,True,,,,,,,,,,
16081073,9443554.0,Bore Sea,2011-04-01T00:00:00,RoRo,"Ro-Ro (10,000 & Above dwt tonnes)",Ro-Ro,Netherlands,11.83333,244130689.0,Lloyd's Register,Fleet,In Service,25586,13375.0,195.4,7.4,26.5,,290740,Bore Ltd,Netherlands,346322,Spliethoff,Netherlands,Bore Sea Rederij,989558,Flensburger SB,Germany,2900.0,Lane m.,PDFR,73138.001,2007-04-19T00:00:00,19151.00138,Flensburger SB,295903.0,P&O Ferries,United Kingdom,290740.0,Bore Ltd,Finland,,,,,,1A,True,19.0,Diesel 4-Stroke,IFO 380,1 x Diesel - Wartsila 4-stroke 12V46F,2 x Aux. Diesel Gen.,1 x CP Propeller,"1 x Exhaust Scrubber - SOx - Langh Tech, 1 x BWTS - Ballast Water Treatment System - Hyde Marine",True,False,2026-04-28T00:00:00,2021-04-24T00:00:00,[],[],[],[],[],[],[],,3.0,,46.0,,,,43.0,,50.0,EURm,,,,,,True,2900.0,12.0,12.0,,,,,,,
16088306,9441582.0,Glovis Clipper,2012-02-01T00:00:00,Pure Car Carriers,"Pure Car Carriers (6,000 & Above Vehicles)",Pure Car Carrier,Bahamas,11.0,311054400.0,DNV,Fleet,In Service,58767,20434.0,199.95,10.0,32.26,,337054,Ray Car Carriers,Israel,337054,Ray Car Carriers,Israel,CLIPPER MARITIME LIMITED,392961,Hyundai Mipo,South Korea,6697.0,Cars,C6ZE8,73069.006,2007-05-29T00:00:00,32695.25461,Hyundai Mipo,599920.0,Hyundai Glovis,South Korea,337067.0,Stamco Ship Mngt.,Greece,,,,,,,,13.9,Diesel 2-Stroke,VLS IFO,1 x Diesel - MAN B. & W. 7S60MC-C7.2,3 x Aux. Diesel Gen. - HHI-EMD (HiMSEN),"1 x HHI-EMD (HiMSEN), FP Propeller, 105rpm ",1 x BWTS - Ballast Water Treatment System - ERMA FIRST,True,False,2027-02-14T00:00:00,2022-05-31T00:00:00,[],[],[],[],[],[],[],,12.0,6697.0,,,,,,,77.0,$m,,,,,,,,,,,,,,,,
16101201,9467421.0,MSC Maria Saveria,2011-10-01T00:00:00,Containerships,"Neo-Panamax Containership 12,000-16,999 TEU",Fully Cellular Container,Panama,11.33333,372400000.0,DNV,Fleet,Repairs,140096,139419.0,365.82,15.0,48.4,,333964,Niki Shpg Co Inc,Greece,333964,Niki Shpg Co Inc,Greece,Compania Naviera Maria Saveria S.A.,998874,STX SB (Jinhae),South Korea,12400.0,TEU,3FLE8,73589.004,2007-08-10T00:00:00,60023.74676,STX SB (Jinhae),267571.0,MSC,Switzerland,845696.0,Med Shpg Co,Italy,,,,,,,False,25.5,Diesel 2-Stroke,IFO 380,1 x Diesel - MAN B. & W. 12K98MC-C7.2,4 x Aux. Diesel Gen. - MAN Energy Solutions,"1 x MMG, FP Propeller, 104rpm ","3 x Exhaust Scrubber - SOx - PANASIA, 1 x BWTS - Ballast Water Treatment System",True,False,2026-10-25T00:00:00,2022-01-24T00:00:00,[],[],[],[],[],[],[],,,,12400.0,False,,1600.0,270.0,,159.0,$m,,STX 13000TEU,,,,True,,,,,,,,,,
16103821,9468932.0,Finnwave,2012-11-01T00:00:00,RoRo,"Ro-Ro (10,000 & Above dwt tonnes)",Ro-Ro,Finland,10.25,230632000.0,RINA,Fleet,In Service,33816,14500.0,205.07,6.8,26.5,,129310,Finnlines Plc,Italy,119166,Grimaldi Group,Italy,Finnlines Plc,729466,CSC Jinling Shipyard,China P.R.,3326.0,Lane m.,OJPT,73639.006,2007-08-24T00:00:00,22829.53082,CSC Jinling Shipyard,129310.0,Finnlines Plc,Finland,129310.0,Finnlines Plc,Finland,,,,,,IA,True,21.0,Diesel 4-Stroke,IFO 380,2 x Diesel - Wartsila 4-stroke 8L46F,2 x Aux. Diesel Gen.,"2 x Wartsila Propulsion, CP Propeller","1 x Exhaust Scrubber - SOx - Wartsila Moss, 1 x BWTS - Ballast Water Treatment System - DESMI",True,False,2027-11-27T00:00:00,2022-10-21T00:00:00,[],[],[],[],[],[],[],,4.0,900.0,470.0,,,,,,54.5,$m,,,,,,True,3326.0,,,,,,,,,
